STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017
19,Iowa,3046869,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711,3354,13467,10696,15490,15687,12910,12396,14842,0.110080217,0.441508703,0.349121484,0.503840442,0.507690276,0.415705623,0.397502239,0.474053689,30,30,30,30,30,30,30,30,30,34,31,35,28,27,26,31,28,37,35,34,30,27,29,27,26
20,Kansas,2853130,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123,5273,10353,16560,7584,6653,6236,1942,5392,0.184814572,0.362195254,0.577253695,0.262848159,0.22997684,0.215067633,0.066832107,0.185436686,33,33,33,33,34,34,34,35,35,30,37,24,40,40,37,42,39,27,37,30,38,38,36,44,38
21,Kentucky,4339340,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189,8608,20557,15168,15448,11294,11642,14056,18076,0.198371181,0.472797743,0.347212605,0.352398548,0.256733107,0.263966089,0.317861122,0.40747384,26,26,26,26,26,26,26,26,26,19,24,30,29,33,30,27,26,23,33,35,34,35,32,31,29
22,Louisiana,4533478,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333,11393,29517,28293,24114,22002,22414,14946,-1824,0.251308157,0.649457377,0.618508968,0.523912042,0.47553436,0.482146241,0.319959856,-0.038923152,25,25,25,25,25,25,25,25,25,14,19,20,22,23,20,26,48,12,24,28,29,28,27,30,45
23,Maine,1328362,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907,-794,400,133,-126,928,-1116,2445,5675,-0.059772863,0.030130283,0.010015302,-0.00948723,0.069880834,-0.083979041,0.18414098,0.426617312,41,41,41,41,41,41,42,42,42,50,48,50,50,44,46,40,38,50,49,50,50,44,46,36,28
24,Maryland,5773807,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177,14292,55016,48565,40974,37591,30316,24191,27425,0.247531655,0.950502056,0.831149139,0.695455286,0.633628727,0.507784856,0.403145639,0.455205459,19,19,19,19,19,19,19,19,19,12,11,12,14,17,18,18,21,16,12,21,25,26,26,26,27
25,Massachusetts,6547808,6564943,6612178,6659627,6711138,6757925,6794002,6823721,6859819,17135,47235,47449,51511,46787,36077,29719,36098,0.26169063,0.719503581,0.717600161,0.773481758,0.697154492,0.533847298,0.437429957,0.529007561,14,14,14,14,14,14,15,15,15,9,12,13,11,13,16,17,17,10,21,26,22,21,25,23,24
26,Michigan,9884129,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311,-7398,-532,10411,12609,15456,3495,15275,28866,-0.074847263,-0.005386398,0.105415049,0.127536132,0.156133529,0.035250777,0.154010266,0.290594049,8,8,8,9,9,10,10,10,10,51,50,37,33,28,39,25,20,51,50,46,44,42,43,39,35
27,Minnesota,5303924,5310711,5345967,5377695,5416074,5452649,5483238,5525050,5576606,6787,35256,31728,38379,36575,30589,41812,51556,0.127961864,0.663865912,0.593494124,0.713670076,0.675304658,0.560993381,0.762542133,0.933131827,21,21,21,21,21,21,21,22,22,22,17,18,16,18,17,15,15,33,23,29,23,23,23,18,18
28,Mississippi,2968103,2970437,2977452,2982963,2987721,2988578,2985297,2985415,2984100,2334,7015,5511,4758,857,-3281,118,-1315,0.078636085,0.236160538,0.185091145,0.159505834,0.028684071,-0.109784653,0.003952706,-0.044047477,31,31,31,31,31,31,31,33,34,39,42,45,45,45,48,45,46,40,43,43,41,45,47,45,46
29,Missouri,5988925,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532,6756,14599,12987,17875,16872,14626,18536,22356,0.112808225,0.24349194,0.216079783,0.296765858,0.279284943,0.241432258,0.30523792,0.367022723,18,18,18,18,18,18,18,18,18,23,29,33,25,25,25,20,24,35,42,40,35,33,33,32,31
30,Montana,989414,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493,1093,6359,6656,8399,8010,8386,10339,11837,0.110469429,0.641994453,0.667692548,0.836952254,0.791563768,0.822212483,1.00542926,1.13964585,44,44,44,44,44,44,44,44,44,45,43,42,38,38,36,33,32,36,25,27,20,18,17,14,13
31,Nebraska,1826327,1829956,1841641,1854862,1867414,1880920,1893564,1907603,1920076,3629,11685,13221,12552,13506,12644,14039,12473,0.198704832,0.638539943,0.717892358,0.676708025,0.723246158,0.672224231,0.741406153,0.653857223,38,38,38,38,37,37,37,37,37,32,36,32,34,30,27,28,31,22,26,25,26,20,20,19,20
32,Nevada,2700691,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039,2106,15373,34240,34137,45183,51327,56197,58785,0.077980043,0.568781155,1.259671029,1.240258537,1.621469152,1.812566876,1.949215711,1.999997278,35,35,35,35,35,35,35,34,33,40,27,17,18,14,11,13,11,41,32,8,7,4,5,2,2
33,New Hampshire,1316460,1316700,1318345,1320923,1322622,1328684,1330134,1335015,1342795,240,1645,2578,1699,6062,1450,4881,7780,0.01823071,0.124933546,0.195548206,0.128622183,0.45833201,0.109130538,0.36695551,0.582764988,42,42,42,42,42,42,41,41,41,47,46,47,46,41,41,37,37,48,45,42,43,29,40,28,22
34,New Jersey,8791953,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644,11755,40986,37401,31640,29275,16991,18415,27228,0.133701807,0.465553833,0.422863697,0.356222265,0.328425739,0.18999196,0.205524531,0.30326062,11,11,11,11,11,11,11,11,11,13,13,16,20,19,23,21,22,32,34,32,33,31,37,34,33
35,New Mexico,2059207,2064607,2077744,2083590,2085161,2083207,2082264,2085432,2088070,5400,13137,5846,1571,-1954,-943,3168,2638,0.262236871,0.636295431,0.281362863,0.075398711,-0.09370979,-0.045266745,0.152142092,0.126496572,36,36,36,36,36,36,36,36,36,29,32,43,47,48,45,39,40,9,27,38,47,50,45,40,40
36,New York,19378110,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399,27075,121187,99037,87105,61066,45767,16939,13113,0.139719508,0.624508347,0.507196114,0.443837884,0.309782913,0.231455306,0.085466993,0.066106125,3,3,3,3,3,4,4,4,4,5,4,5,5,9,15,22,30,31,29,31,32,32,34,43,41
37,North Carolina,9535721,9574247,9662940,9755299,9849812,9941160,10041769,10156689,10273419,38526,88693,92359,94513,91348,100609,114920,116730,0.404017693,0.926370502,0.955806411,0.968837552,0.927408564,1.012044872,1.144419873,1.149291861,10,10,10,10,10,9,9,9,9,4,6,6,4,5,6,5,5,4,13,18,15,15,14,12,12
38,North Dakota,672585,674518,684830,701380,722908,738658,754859,755548,755393,1933,10312,16550,21528,15750,16201,689,-155,0.287398619,1.528795377,2.416658149,3.069377513,2.178700471,2.193301907,0.091275324,-0.020514911,48,48,48,48,48,47,47,47,47,42,38,25,23,26,24,44,44,8,3,2,1,1,1,42,44
39,Ohio,11536730,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609,2552,4050,3637,20876,25896,12286,16527,36055,0.022120653,0.035097504,0.031507367,0.180792033,0.223861921,0.105970972,0.142400151,0.31021581,7,7,7,7,7,7,7,7,7,38,44,46,24,20,28,24,18,46,47,48,40,39,42,41,32
40,Oklahoma,3751598,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864,7931,25703,30066,34542,25168,29345,16854,9657,0.211403247,0.683676067,0.794297417,0.90535523,0.653741454,0.757288759,0.431672034,0.24627621,28,28,28,28,28,28,28,28,28,21,21,19,17,22,19,23,33,20,22,22,16,25,19,24,36
41,Oregon,3831072,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776,6001,28772,28075,25744,41009,55864,69452,56787,0.15664023,0.749842393,0.726231911,0.661133254,1.046237637,1.410467363,1.729151256,1.389798162,27,27,27,27,27,27,27,27,27,25,20,21,21,15,10,9,13,29,20,23,27,13,10,6,10
42,Pennsylvania,12702857,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537,8206,31748,25223,10416,11891,783,-4039,18452,0.064599641,0.24976668,0.197939058,0.08157873,0.093055105,0.006121807,-0.031576584,0.144301848,6,6,6,6,6,6,6,6,5,20,18,22,36,32,44,48,25,44,41,41,46,43,44,46,39
44,Rhode Island,1052945,1053169,1052154,1052761,1052784,1054782,1055916,1057566,1059639,224,-1015,607,23,1998,1134,1650,2073,0.021273666,-0.096375795,0.057691175,0.002184731,0.18978252,0.107510367,0.15626243,0.196016135,43,43,43,43,43,43,43,43,43,48,51,48,49,42,43,43,41,47,51,47,49,40,41,38,37
45,South Carolina,4625381,4635834,4672744,4719009,4765862,4824758,4892423,4959822,5024369,10453,36910,46265,46853,58896,67665,67399,64547,0.225992194,0.796188992,0.99010346,0.992856763,1.235789035,1.40245376,1.377620046,1.30139751,24,24,24,24,24,24,23,23,23,16,16,14,12,10,9,10,10,18,18,16,13,10,11,11,11
46,South Dakota,814197,816227,823338,832576,842513,849455,854036,861542,869666,2030,7111,9238,9937,6942,4581,7506,8124,0.249325409,0.871203722,1.122017932,1.193524675,0.823963547,0.539286955,0.878885668,0.942960413,46,46,46,46,46,46,46,46,46,41,41,38,37,39,38,36,36,14,17,11,8,17,24,17,17
47,Tennessee,6346295,6355882,6396281,6450632,6490795,6540007,6590726,6649404,6715984,9587,40399,54351,40163,49212,50719,58678,66580,0.151064519,0.635615954,0.849728147,0.622621163,0.758181394,0.775519048,0.890311629,1.001292747,17,17,17,17,17,17,17,16,16,18,14,11,15,12,12,12,9,30,28,20,28,19,18,16,15
48,Texas,25146100,25241648,25644424,26078327,26479279,26954436,27454880,27904862,28304596,95548,402776,433903,400952,475157,500444,449982,399734,0.379971447,1.595680282,1.691997449,1.537491266,1.794448406,1.856629462,1.638987313,1.432488718,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,2,3,4,2,3,9,7
49,Utah,2763889,2775260,2815430,2854222,2899961,2938671,2984917,3044321,3101833,11371,40170,38792,45739,38710,46246,59404,57512,0.411413049,1.447431952,1.377835713,1.602503239,1.334845538,1.573704576,1.990139089,1.889156893,34,34,34,34,33,33,32,31,31,15,15,15,13,16,14,11,12,3,4,5,3,8,7,1,3
50,Vermont,625741,625842,626210,625606,626044,625665,624455,623354,623657,101,368,-604,438,-379,-1210,-1101,303,0.016140863,0.058800784,-0.096453266,0.070012116,-0.060538876,-0.193394229,-0.176313746,0.048608014,49,49,49,50,50,50,50,50,50,49,49,51,48,47,47,46,43,49,46,51,48,47,50,48,42
51,Virginia,8001043,8025206,8107548,8188656,8261689,8316902,8366767,8414380,8470020,24163,82342,81108,73033,55213,49865,47613,55640,0.301998127,1.026042198,1.000401108,0.891880182,0.668301603,0.599562193,0.569072857,0.661248957,12,12,12,12,12,12,12,12,12,6,7,7,7,11,13,14,14,7,10,15,18,24,22,21,19
53,Washington,6724545,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743,16841,77769,71744,72511,83521,105887,128116,124809,0.250440736,1.153605505,1.052095164,1.05227199,1.199426718,1.502597372,1.791126239,1.714189416,13,13,13,13,13,13,13,13,13,10,8,9,8,7,5,4,4,13,8,12,11,11,8,5,4
54,West Virginia,1853006,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857,1309,576,469,-3027,-4709,-7857,-11130,-12780,0.070641973,0.031062684,0.025284505,-0.163148931,-0.254219949,-0.42524886,-0.604967912,-0.698881189,37,37,37,37,38,38,38,38,38,44,47,49,51,50,50,50,50,43,48,49,51,51,51,51,50
55,Wisconsin,5687288,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483,3115,15409,15263,15598,14599,8472,13173,22566,0.054771272,0.270789257,0.267499175,0.272641068,0.254485483,0.147306544,0.228708082,0.390894239,20,20,20,20,20,20,20,20,20,37,26,29,26,29,35,29,23,45,40,39,37,37,39,33,30
56,Wyoming,563767,564376,567602,576608,582341,583334,586102,584910,579315,609,3226,9006,5733,993,2768,-1192,-5595,0.10802335,0.571604746,1.58667517,0.994263,0.170518648,0.474513743,-0.203377569,-0.956557419,51,51,51,51,51,51,51,51,51,46,45,39,43,43,40,47,49,38,31,4,12,41,28,49,51
